timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional,trdType
2023-07-24T19:24:40.898Z,XBTUSD,Buy,1200,29118.0,ZeroMinusTick,e09fbb89-a96b-4c0e-b906-deea62cd1e3d,4121160,0.0412116,1200.0,Regular
2023-07-24T19:24:58.957Z,XBTUSD,Buy,100,29120.0,PlusTick,8e6b5595-728a-f286-2a8d-7fcd26bf3605,343407,0.00343407,100.0,Regular
2023-07-24T19:25:08.344Z,XBTUSD,Buy,6700,29123.0,PlusTick,407289aa-335d-4e4b-5131-3123e9a89429,23005857,0.23005857,6700.0,Regular
2023-07-24T19:25:24.378Z,XBTUSD,Sell,26600,29123.5,PlusTick,2fafed11-f6b1-e213-fd10-cf51f1ad1e09,91335090,0.9133509,26600.0,Regular
2023-07-24T19:25:24.378Z,XBTUSD,Sell,16100,29123.5,ZeroPlusTick,fa4574cb-e669-b8b7-180f-3c4d96643fd5,55281765,0.55281765,16100.0,Regular
2023-07-24T19:25:24.378Z,XBTUSD,Sell,100,29123.5,ZeroPlusTick,05776812-30ab-f384-b0bf-0d42043654b2,343365,0.00343365,100.0,Regular
2023-07-24T19:25:24.378Z,XBTUSD,Sell,200,29123.5,ZeroPlusTick,e62db689-b64a-3e40-7b29-1d87f5ac22df,686730,0.0068673,200.0,Regular
2023-07-24T19:25:24.378Z,XBTUSD,Sell,100,29123.5,ZeroPlusTick,f41529f1-c1c3-af77-57f8-d10ef39a3de7,343365,0.00343365,100.0,Regular
2023-07-24T19:25:24.378Z,XBTUSD,Sell,200,29123.5,ZeroPlusTick,25226030-1ff4-d159-10cd-03820cb8e535,686730,0.0068673,200.0,Regular
2023-07-24T19:25:24.378Z,XBTUSD,Sell,100,29123.5,ZeroPlusTick,12044434-2d64-4bce-2e9d-3eeae3cdcc67,343365,0.00343365,100.0,Regular
2023-07-24T19:25:24.378Z,XBTUSD,Sell,100,29123.5,ZeroPlusTick,1b94cfd6-fce2-74c5-6dff-c0b567de22fb,343365,0.00343365,100.0,Regular
2023-07-24T19:25:37.655Z,XBTUSD,Sell,100,29119.5,MinusTick,d33a79c1-5c1b-087a-e8c4-6bfa0300b92a,343412,0.00343412,100.0,Regular
2023-07-24T19:25:37.655Z,XBTUSD,Sell,100,29119.5,ZeroMinusTick,05092423-912f-dec1-ca85-e07730183c98,343412,0.00343412,100.0,Regular
