timestamp,open,high,low,close
2023-07-22 04:30:00,29909.38,29918.92,29901.21,29918.92
2023-07-22 05:00:00,29914.31,29931.91,29914.31,29917.34
2023-07-22 05:30:00,29909.63,29909.63,29874.92,29883.21
2023-07-22 06:00:00,29871.84,29883.13,29861.69,29865.31
2023-07-22 06:30:00,29871.86,29872.9,29855.6,29863.74
2023-07-22 07:00:00,29873.58,29889.91,29873.58,29889.91
2023-07-22 07:30:00,29887.7,29890.81,29882.2,29882.2
2023-07-22 08:00:00,29926.66,29964.48,29926.66,29957.98
2023-07-22 08:30:00,29946.71,29967.82,29943.78,29967.82
2023-07-22 09:00:00,29954.03,29954.03,29936.71,29938.28
2023-07-22 09:30:00,29942.79,29948.71,29935.63,29948.71
2023-07-22 10:00:00,29948.51,29951.5,29933.53,29933.53
2023-07-22 10:30:00,29929.53,29940.31,29880.37,29880.37
2023-07-22 11:00:00,29884.05,29901.58,29884.05,29901.58
2023-07-22 11:30:00,29902.26,29902.26,29896.37,29897.37
2023-07-22 12:00:00,29898.82,29898.82,29877.14,29889.84
2023-07-22 12:30:00,29892.37,29892.37,29873.55,29873.83
2023-07-22 13:00:00,29877.36,29877.36,29842.89,29842.89
2023-07-22 13:30:00,29849.3,29857.82,29841.16,29857.82
2023-07-22 14:00:00,29860.86,29860.86,29853.5,29854.7
2023-07-22 14:30:00,29856.95,29881.6,29856.95,29876.26
2023-07-22 15:00:00,29864.71,29869.77,29861.65,29866.96
2023-07-22 15:30:00,29870.98,29894.39,29870.98,29886.84
2023-07-22 16:00:00,29886.79,29893.09,29873.85,29893.09
2023-07-22 16:30:00,29907.89,29913.13,29884.85,29887.17
2023-07-22 17:00:00,29892.84,29904.22,29892.84,29901.75
2023-07-22 17:30:00,29903.45,29903.45,29893.3,29893.3
2023-07-22 18:00:00,29892.09,29892.32,29838.21,29838.21
2023-07-22 18:30:00,29844.21,29844.21,29817.74,29820.01
2023-07-22 19:00:00,29828.61,29833.6,29821.21,29821.21
2023-07-22 19:30:00,29823.98,29851.17,29821.65,29848.49
2023-07-22 20:00:00,29849.39,29849.39,29823.82,29833.48
2023-07-22 20:30:00,29840.88,29840.88,29828.15,29835.66
2023-07-22 21:00:00,29832.95,29843.27,29830.75,29838.89
2023-07-22 21:30:00,29833.82,29833.82,29819.23,29821.85
2023-07-22 22:00:00,29827.29,29834.97,29826.98,29833.52
2023-07-22 22:30:00,29829.68,29840.62,29828.5,29828.5
2023-07-22 23:00:00,29827.16,29827.16,29809.44,29813.81
2023-07-22 23:30:00,29811.14,29814.32,29717.15,29717.15
2023-07-23 00:00:00,29697.7,29710.16,29682.17,29710.16
2023-07-23 00:30:00,29809.63,29829.05,29796.34,29796.79
2023-07-23 01:00:00,29805.04,29805.04,29776.38,29777.01
2023-07-23 01:30:00,29776.22,29858.89,29776.22,29858.89
2023-07-23 02:00:00,29851.82,29851.82,29843.13,29845.76
2023-07-23 02:30:00,29843.79,29872.88,29830.42,29872.88
2023-07-23 03:00:00,29881.31,29881.31,29867.78,29875.17
2023-07-23 03:30:00,29874.47,29874.47,29867.86,29869.22
2023-07-23 04:00:00,29867.51,29867.57,29849.54,29852.72
