timestamp, last_update, init, num_updates, num_errors, total_pong, total_timeout, total_reconnect, func_name, state, update, message
2023-07-24T04:00:03.079419,2023-07-24 04:00:03.058879,True,0,0,0,0,0,on_open,OPEN,ok, "Connection opened on websocket!"
2023-07-24T04:00:03.104939,2023-07-24 04:00:03.058879,True,0,0,0,0,0,on_open,SUBSCRIBE,send, "{'op': 'subscribe', 'args': ['trade:XBTUSD']}"
2023-07-24T04:00:03.130932,2023-07-24 04:00:03.058879,False,0,0,0,0,0,on_message,INFO,limit, "{'remaining': 179}"
2023-07-24T04:00:03.616485,2023-07-24 04:00:03.058879,False,0,0,0,0,0,on_message,SUBSCRIBE,True, "trade:XBTUSD"
2023-07-24T04:00:03.642241,2023-07-24 04:00:03.058879,False,1,0,0,0,0,on_message,ACTION,partial, ""
2023-07-24T04:00:04.238205,2023-07-24 04:00:03.058879,False,2,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:00:05.470531,2023-07-24 04:00:03.058879,False,3,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:00:07.613526,2023-07-24 04:00:03.058879,False,4,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:00:13.464746,2023-07-24 04:00:03.058879,False,5,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:00:15.301424,2023-07-24 04:00:03.058879,False,6,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:00:19.301543,2023-07-24 04:00:03.058879,False,7,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:00:23.607377,2023-07-24 04:00:03.058879,False,7,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-24T04:00:25.744359,2023-07-24 04:00:03.058879,False,8,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:00:29.433146,2023-07-24 04:00:03.058879,False,9,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:00:33.433251,2023-07-24 04:00:03.058879,False,9,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-24T04:00:34.655843,2023-07-24 04:00:03.058879,False,10,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:00:42.644614,2023-07-24 04:00:03.058879,False,11,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:00:43.565970,2023-07-24 04:00:03.058879,False,11,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-24T04:00:46.647318,2023-07-24 04:00:03.058879,False,12,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:00:46.694544,2023-07-24 04:00:03.058879,False,13,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:00:46.735705,2023-07-24 04:00:03.058879,False,14,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:00:46.782073,2023-07-24 04:00:03.058879,False,15,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:00:48.891034,2023-07-24 04:00:03.058879,False,16,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:00:52.172756,2023-07-24 04:00:03.058879,False,17,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:00:53.700282,2023-07-24 04:00:03.058879,False,17,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-24T04:00:54.562527,2023-07-24 04:00:03.058879,False,18,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:00:56.473770,2023-07-24 04:00:03.058879,False,19,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:00:58.592047,2023-07-24 04:00:03.058879,False,20,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:01:00.771267,2023-07-24 04:00:03.058879,False,21,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:01:02.722405,2023-07-24 04:00:03.058879,False,22,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:01:03.544964,2023-07-24 04:00:03.058879,False,22,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-24T04:01:07.220551,2023-07-24 04:00:03.058879,False,23,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:01:07.833581,2023-07-24 04:00:03.058879,False,24,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:01:13.665539,2023-07-24 04:00:03.058879,False,24,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-24T04:01:18.282026,2023-07-24 04:00:03.058879,False,25,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:01:23.496941,2023-07-24 04:00:03.058879,False,25,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-24T04:01:33.646593,2023-07-24 04:00:03.058879,False,26,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:01:33.683021,2023-07-24 04:00:03.058879,False,26,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-24T04:01:42.544085,2023-07-24 04:00:03.058879,False,27,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:01:43.466802,2023-07-24 04:00:03.058879,False,27,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-24T04:01:53.605007,2023-07-24 04:00:03.058879,False,27,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-24T04:02:03.740263,2023-07-24 04:00:03.058879,False,27,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-24T04:02:08.582742,2023-07-24 04:00:03.058879,False,28,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:02:08.624273,2023-07-24 04:00:03.058879,False,29,0,0,0,0,on_message,ACTION,insert, ""
2023-07-24T04:02:08.676117,2023-07-24 04:00:03.058879,False,30,0,0,0,0,on_message,ACTION,insert, ""
