timestamp, last_update, init, num_updates, num_errors, total_pong, total_timeout, total_reconnect, func_name, state, update, message
2023-07-25T16:00:03.819571,2023-07-25 16:00:03.798417,True,0,0,0,0,0,on_open,OPEN,ok, "Connection opened on websocket!"
2023-07-25T16:00:03.840086,2023-07-25 16:00:03.798417,True,0,0,0,0,0,on_open,SUBSCRIBE,send, "{'op': 'subscribe', 'args': ['trade:XBTUSD']}"
2023-07-25T16:00:03.876161,2023-07-25 16:00:03.798417,False,0,0,0,0,0,on_message,INFO,limit, "{'remaining': 179}"
2023-07-25T16:00:04.353685,2023-07-25 16:00:03.798417,False,0,0,0,0,0,on_message,SUBSCRIBE,True, "trade:XBTUSD"
2023-07-25T16:00:04.369631,2023-07-25 16:00:03.798417,False,1,0,0,0,0,on_message,ACTION,partial, ""
2023-07-25T16:00:15.423374,2023-07-25 16:00:03.798417,False,2,0,0,0,0,on_message,ACTION,insert, ""
2023-07-25T16:00:16.037825,2023-07-25 16:00:03.798417,False,3,0,0,0,0,on_message,ACTION,insert, ""
2023-07-25T16:00:19.411194,2023-07-25 16:00:03.798417,False,4,0,0,0,0,on_message,ACTION,insert, ""
2023-07-25T16:00:21.254620,2023-07-25 16:00:03.798417,False,5,0,0,0,0,on_message,ACTION,insert, ""
2023-07-25T16:00:21.551436,2023-07-25 16:00:03.798417,False,6,0,0,0,0,on_message,ACTION,insert, ""
2023-07-25T16:00:24.327643,2023-07-25 16:00:03.798417,False,6,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-25T16:00:34.051182,2023-07-25 16:00:03.798417,False,6,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-25T16:00:44.300908,2023-07-25 16:00:03.798417,False,6,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-25T16:00:51.368340,2023-07-25 16:00:03.798417,False,7,0,0,0,0,on_message,ACTION,insert, ""
2023-07-25T16:00:51.409518,2023-07-25 16:00:03.798417,False,8,0,0,0,0,on_message,ACTION,insert, ""
2023-07-25T16:00:54.429854,2023-07-25 16:00:03.798417,False,8,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-25T16:01:04.271500,2023-07-25 16:00:03.798417,False,8,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-25T16:01:14.399346,2023-07-25 16:00:03.798417,False,8,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-25T16:01:22.653343,2023-07-25 16:00:03.798417,False,9,0,0,0,0,on_message,ACTION,insert, ""
2023-07-25T16:01:24.228911,2023-07-25 16:00:03.798417,False,9,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-25T16:01:34.368503,2023-07-25 16:00:03.798417,False,9,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-25T16:01:34.681932,2023-07-25 16:00:03.798417,False,10,0,0,0,0,on_message,ACTION,insert, ""
2023-07-25T16:01:34.718013,2023-07-25 16:00:03.798417,False,11,0,0,0,0,on_message,ACTION,insert, ""
2023-07-25T16:01:34.769769,2023-07-25 16:00:03.798417,False,12,0,0,0,0,on_message,ACTION,insert, ""
2023-07-25T16:01:44.515926,2023-07-25 16:00:03.798417,False,12,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-25T16:01:54.336850,2023-07-25 16:00:03.798417,False,12,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-25T16:01:55.576242,2023-07-25 16:00:03.798417,False,13,0,0,0,0,on_message,ACTION,insert, ""
2023-07-25T16:01:55.622490,2023-07-25 16:00:03.798417,False,14,0,0,0,0,on_message,ACTION,insert, ""
2023-07-25T16:02:04.469371,2023-07-25 16:00:03.798417,False,14,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-25T16:02:14.315139,2023-07-25 16:00:03.798417,False,14,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-25T16:02:24.436162,2023-07-25 16:00:03.798417,False,14,0,0,0,0,on_pong,HEARTBEAT,response, "pong"
2023-07-25T16:02:28.430968,2023-07-25 16:00:03.798417,False,15,0,0,0,0,on_message,ACTION,insert, ""
